"marital_status","gender","income","children","education","occupation","home_owner","cars","commute_distance","region","age","purchased_bike","income_imp"
"Married","Female",40000,1,"Bachelors","Skilled Manual","Yes",0,"0-1 Miles","Europe",42,"No",FALSE
"Married","Male",30000,3,"Partial College","Clerical","Yes",1,"0-1 Miles","Europe",43,"No",FALSE
"Married","Male",80000,5,"Partial College","Professional","No",2,"2-5 Miles","Europe",60,"No",FALSE
"Single","Male",70000,0,"Bachelors","Professional","Yes",1,"5-10 Miles","Pacific",41,"Yes",FALSE
"Single","Male",30000,0,"Bachelors","Clerical","No",0,"0-1 Miles","Europe",36,"Yes",FALSE
"Married","Female",10000,2,"Partial College","Manual","Yes",0,"1-2 Miles","Europe",50,"No",FALSE
"Single","Male",160000,2,"High School","Management","Yes",4,"0-1 Miles","Pacific",33,"Yes",FALSE
"Married","Male",40000,1,"Bachelors","Skilled Manual","Yes",0,"0-1 Miles","Europe",43,"Yes",FALSE
"Married","Male",20000,2,"Partial High School","Clerical","Yes",2,"5-10 Miles","Pacific",58,"No",FALSE
"Married","Male",130000,2,"Partial College","Manual","Yes",1,"0-1 Miles","Europe",43,"Yes",TRUE
"Married","Female",30000,3,"High School","Skilled Manual","No",2,"1-2 Miles","Pacific",54,"Yes",FALSE
"Single","Female",90000,0,"Bachelors","Professional","No",4,"10+ Miles","Pacific",36,"No",FALSE
"Married","Male",170000,5,"Partial College","Professional","Yes",1,"0-1 Miles","Europe",55,"No",FALSE
"Married","Male",40000,2,"Partial College","Clerical","Yes",1,"1-2 Miles","Europe",35,"Yes",FALSE
"Single","Male",60000,1,"Partial College","Skilled Manual","No",1,"0-1 Miles","Pacific",45,"Yes",FALSE
"Single","Female",10000,2,"High School","Manual","Yes",1,"0-1 Miles","Europe",38,"Yes",FALSE
"Single","Male",30000,3,"Partial College","Clerical","No",2,"1-2 Miles","Pacific",59,"Yes",FALSE
"Married","Female",30000,1,"Bachelors","Clerical","Yes",0,"0-1 Miles","Europe",47,"No",FALSE
"Single","Male",40000,2,"Partial College","Clerical","Yes",1,"1-2 Miles","Europe",35,"Yes",FALSE
"Single","Male",20000,2,"Partial High School","Clerical","Yes",2,"5-10 Miles","Pacific",55,"Yes",FALSE
"Married","Female",40000,0,"Graduate Degree","Clerical","Yes",0,"0-1 Miles","Europe",36,"Yes",FALSE
"Single","Female",80000,0,"Bachelors","Professional","Yes",4,"10+ Miles","Pacific",35,"No",FALSE
"Single","Male",40000,2,"Partial College","Clerical","Yes",0,"1-2 Miles","Europe",35,"Yes",FALSE
"Married","Female",80000,5,"High School","Management","No",3,"5-10 Miles","Europe",56,"No",FALSE
"Single","Male",40000,2,"Partial College","Clerical","No",1,"0-1 Miles","Europe",34,"No",FALSE
"Single","Male",30000,1,"Bachelors","Clerical","Yes",0,"0-1 Miles","Europe",63,"No",FALSE
"Single","Male",30000,0,"Partial College","Clerical","No",1,"0-1 Miles","Europe",29,"Yes",FALSE
"Married","Female",100000,0,"Bachelors","Professional","No",1,"5-10 Miles","Pacific",40,"No",FALSE
"Married","Male",70000,5,"Partial College","Skilled Manual","Yes",2,"5-10 Miles","Pacific",44,"No",FALSE
"Single","Female",20000,0,"Partial High School","Manual","No",2,"0-1 Miles","Europe",32,"Yes",FALSE
"Married","Female",20000,2,"Partial College","Manual","Yes",0,"0-1 Miles","Europe",63,"No",FALSE
"Married","Male",10000,0,"Partial College","Manual","No",1,"0-1 Miles","Pacific",26,"Yes",FALSE
"Single","Female",20000,0,"High School","Manual","No",1,"5-10 Miles","Europe",31,"No",FALSE
"Single","Male",80000,2,"High School","Skilled Manual","No",2,"1-2 Miles","Pacific",50,"Yes",FALSE
"Single","Male",90000,5,"Partial College","Professional","No",2,"2-5 Miles","Europe",62,"Yes",FALSE
"Single","Female",10000,5,"Partial High School","Manual","No",2,"0-1 Miles","Europe",41,"No",FALSE
"Married","Female",10000,2,"Partial College","Manual","Yes",1,"0-1 Miles","Europe",50,"Yes",FALSE
"Single","Female",30000,0,"Partial College","Clerical","No",1,"2-5 Miles","Europe",30,"No",FALSE
"Single","Male",20000,0,"High School","Manual","No",1,"2-5 Miles","Europe",28,"No",FALSE
"Single","Female",10000,4,"Partial High School","Manual","Yes",2,"0-1 Miles","Europe",40,"Yes",FALSE
"Single","Female",30000,2,"Partial College","Clerical","No",0,"0-1 Miles","Europe",43,"No",FALSE
"Single","Female",40000,2,"Bachelors","Management","Yes",2,"5-10 Miles","Pacific",65,"Yes",FALSE
"Married","Female",10000,1,"Graduate Degree","Manual","Yes",0,"0-1 Miles","Europe",40,"No",FALSE
"Married","Female",170000,4,"Partial College","Professional","No",3,"5-10 Miles","Europe",48,"Yes",FALSE
"Married","Female",20000,3,"High School","Manual","Yes",0,"0-1 Miles","Europe",41,"Yes",FALSE
"Married","Female",20000,1,"Bachelors","Clerical","Yes",0,"0-1 Miles","Europe",66,"Yes",FALSE
"Married","Female",60000,1,"Partial College","Skilled Manual","Yes",1,"5-10 Miles","Pacific",46,"Yes",FALSE
"Single","Female",40000,2,"Partial College","Skilled Manual","Yes",2,"5-10 Miles","Pacific",52,"Yes",FALSE
"Married","Male",30000,2,"Partial College","Clerical","No",2,"0-1 Miles","Europe",42,"No",FALSE
"Married","Male",40000,0,"Bachelors","Clerical","Yes",0,"0-1 Miles","Europe",39,"Yes",FALSE
